notice_catalog,notice_creator,notice_link,notice_source,notice_text,notice_time,notice_title
,张欲晓,http://news.szcu.edu.cn/2024/0225/c148a60341/page.htm,新闻中心,"
　　近日，江苏省委教育工委、省教育厅公布了“第三届江苏省大学生网络文化节和高校网络教育优秀作品推选展示活动”的遴选结果，我校荣获一等奖
2
项、二等奖
4
项、三等奖
11
项，同时，
6
项作品被推报“第七届全国大学生网络文化节和全国高校网络教育优秀作品推选展示活动”。
　　“第三届江苏省大学生网络文化节和高校网络教育优秀作品推选展示活动”主题为“争做校园好网民，汇聚网络正能量，挺膺担当建新功”，由中共江苏省委教育工委、江苏省教育厅主办，江苏省高校网络思想政治工作中心承办。旨在鼓励引导广大青年学生积极创作优秀网络文化作品，活跃校园网络空间生态，全面提升网络素养，推进网络文明建设，以实际行动践行党的二十大精神。
　　“第三届江苏省大学生网络文化节”面向全省高等院校全日制在校学生群体，征集微视频、微电影、动漫、摄影、网文、公益广告、音频、校园歌曲、其他类网络创新作品
9
类作品；“第三届江苏省高校网络教育优秀作品推选展示活动”面向全省高等院校教师群体，征集优秀网络文章、优秀工作案例、优秀微课、优秀新媒体作品
4
类作品。
（部分获奖作品展示）
　　本次活动在我校党委宣传部的认真组织、广泛动员，相关部门和学院（部）的大力支持下，广大师生积极响应、踊跃参与，经过遴选申报、材料初审、专家评审，我校共报送
13
个类别
110
项优秀作品参加省级评比。
　　近年来，我校以习近平新时代中国特色社会主义思想为指导，高度重视大学生网络思想政治教育，推动广大师生积极参与内容丰富、形式多样的网络文化作品创作生产，扩大高校网络文化影响力，切实强化守正创新，增强新时代高校思政工作的吸引力和实效性。
 
（党委宣传部）
Copyright © 苏州大学文正学院   苏ICP备10027372号-1
地址：江苏省苏州市吴中区吴中大道1188号    邮编：215104  电话：0512-66555732    0512-66551901（招生咨询热线） 传真：0512-68230911",2024-02-25 11:25:04,我校17项作品在“第三届江苏省大学生网络文化节和高校网络教育优秀作品推选展示”活动中获奖
学习材料,何玥,http://www.szcu.edu.cn/2024/0225/c2353a60345/page.htm,苏州城市学院,"
发布时间：2024-02-25
 
地址：江苏省苏州市吴中区吴中大道1188号 邮编：215104
Copyright © 苏州城市学院  
 苏ICP备2021049900号-1",2024-02-25 11:23:49,2024年2月24日学习类议题材料
学习材料,何玥,http://www.szcu.edu.cn/2024/0225/c2353a60344/page.htm,苏州城市学院,"
发布时间：2024-02-25
 
地址：江苏省苏州市吴中区吴中大道1188号 邮编：215104
Copyright © 苏州城市学院  
 苏ICP备2021049900号-1",2024-02-25 11:23:22,2024年1月19日学习类议题材料
第一议题,何玥,http://www.szcu.edu.cn/2024/0225/c2352a60343/page.htm,苏州城市学院,"
发布时间：2024-02-25
 
地址：江苏省苏州市吴中区吴中大道1188号 邮编：215104
Copyright © 苏州城市学院  
 苏ICP备2021049900号-1",2024-02-25 11:22:11,2024年2月24日第一议题学习材料
第一议题,何玥,http://www.szcu.edu.cn/2024/0225/c2352a60342/page.htm,苏州城市学院,"
发布时间：2024-02-25
 
地址：江苏省苏州市吴中区吴中大道1188号 邮编：215104
Copyright © 苏州城市学院  
 苏ICP备2021049900号-1",2024-02-25 11:21:15,2024年1月19日第一议题学习材料
,张晓晗,http://jc.szcu.edu.cn/2024/0225/c878a60340/page.htm,奖惩助贷服务中心,"
发布者：张晓晗
发布时间：2024-02-25
浏览次数：
10

学字﹝
2
02
4
﹞
8
号
 
各
学院
、各
202
4
届毕业班：
为积极扶助家庭经济困难毕业生就业，我校将对家庭经济困难毕业生就业提供专项补助。现就有关事项通知如下：
一、资助对象
家庭经济困难的应届毕业生（升学、出国、参军、暂无就业意愿的除外）。申请者原则上满足以下条件：（
1）
学校
家庭经济困难数据库学生；（
2）行为学分在80分
及
以上；（
3）勤俭节约，勤奋上进。
二、经费用途
主要用于资助就业过程中的材料准备、交通费用和通讯费用等。
三、资助金额
500元/人，一次性发放。
四、名额分配
每班申请人数不超过总人数的
8
%。
五、
申请程序
本人下载并填写《
2024届家庭经济困难毕业生就业专项补助申请表》（附件1），由班级初评，学院评审工作组对申请学生进行初审并提出意见，报学生服务与发展中心（奖惩助贷服务中心）。学生服务与发展中心（奖惩助贷服务中心）将按照流程组织评审、公示。公示无异议后，完成相关发放工作。
六、
材料报送
各学院在
2024
年
3
月
5
日前将附件
2
电子版发送至学生服务与发展中心（奖惩助贷服务中心）邮箱，附件
1
、
2
纸质版交至综合楼
10
4
。
未尽事宜请咨询学生服务与发展中心（奖惩助贷服务中心），联系人：
聂老师，
联系电话：
0512-665
54318，电子邮箱：nxy@szcu.edu.cn
。
特此通知。
 
党委学生工作部（
学生工作
处）
2
02
4
年
2
月
25
日
附件1：2024届家庭经济困难毕业生就业专项补助申请表.doc
附件2：2024届家庭经济困难毕业生就业专项补助汇总表.xlsx
地址：江苏省苏州市吴中区吴中大道1188号
电话：0512-66551901
邮政编码：215104
Copyright © 2012 Powered by 信息中心
制作维护",2024-02-25 11:05:47,关于做好2024届家庭经济困难毕业生就业专项补助工作的通知
,张晓晗,http://jc.szcu.edu.cn/2024/0225/c886a60339/page.htm,奖惩助贷服务中心,"
发布者：张晓晗
发布时间：2024-02-25
浏览次数：
10
学字﹝
2
02
4
﹞
8
号
 
各
学院
、各
202
4
届毕业班：
为积极扶助家庭经济困难毕业生就业，我校将对家庭经济困难毕业生就业提供专项补助。现就有关事项通知如下：
一、资助对象
家庭经济困难的应届毕业生（升学、出国、参军、暂无就业意愿的除外）。申请者原则上满足以下条件：（
1）
学校
家庭经济困难数据库学生；（
2）行为学分在80分
及
以上；（
3）勤俭节约，勤奋上进。
二、经费用途
主要用于资助就业过程中的材料准备、交通费用和通讯费用等。
三、资助金额
500元/人，一次性发放。
四、名额分配
每班申请人数不超过总人数的
8
%。
五、
申请程序
本人下载并填写《
2024届家庭经济困难毕业生就业专项补助申请表》（附件1），由班级初评，学院评审工作组对申请学生进行初审并提出意见，报学生服务与发展中心（奖惩助贷服务中心）。学生服务与发展中心（奖惩助贷服务中心）将按照流程组织评审、公示。公示无异议后，完成相关发放工作。
六、
材料报送
各学院在
2024
年
3
月
5
日前将附件
2
电子版发送至学生服务与发展中心（奖惩助贷服务中心）邮箱，附件
1
、
2
纸质版交至综合楼
10
4
。
未尽事宜请咨询学生服务与发展中心（奖惩助贷服务中心），联系人：
聂老师，
联系电话：
0512-665
54318，电子邮箱：nxy@szcu.edu.cn
。
特此通知。
 
党委学生工作部（
学生工作
处）
2
02
4
年
2
月
25
日
附件1：2024届家庭经济困难毕业生就业专项补助申请表.doc
附件2：2024届家庭经济困难毕业生就业专项补助汇总表.xlsx
地址：江苏省苏州市吴中区吴中大道1188号
电话：0512-66551901
邮政编码：215104
Copyright © 2012 Powered by 信息中心
制作维护",2024-02-25 11:05:47,关于做好2024届家庭经济困难毕业生就业专项补助工作的通知
,朱琳,http://xsc.szcu.edu.cn/2024/0225/c3580a60337/page.htm,党委学生工作部（处）（人民武装部）,"
发布者：朱琳
发布时间：2024-02-25
浏览次数：
10

一、人员组成
主 任：芮国强
常务副主任：吴昌政
副主任：党委学生工作部（学生工作处、人民武装部）主要
负责人
副主任委员：邹丽新
委 员：党委办公室（校长办公室）、党委组织部（党校）、
党委宣传部、团委、人事处（党委教师工作部）、教务处、党委学
生工作部（学生工作处、人民武装部）等部门主要负责人，各二
级学院党委负责人
专任委员：任 晓
二、工作机构
关心下一代工作委员会秘书处设在党委学生工作部（学生工
作处、人民武装部）。
秘书长：党委学生工作部（学生工作处、人民武装部）主要
负责人（兼）
副秘书长：党委学生工作部（学生工作处、人民武装部）和
团委有关负责人（兼）
秘 书：朱 琳
版权所有 © 苏州城市学院
地址：江苏省苏州市吴中区吴中大道1188号
邮编：215104
联系邮箱：4132013983@szcu.edu.cn",2024-02-25 10:41:06,组织机构
,何玉,http://art.szcu.edu.cn/2024/0225/c2766a60338/page.htm,设计与艺术学院,"
发布者：何玉
发布时间：2024-02-25
浏览次数：
11

各
2024
届毕业班：
为积极扶助家庭经济困难毕业生就业，我校将对家庭经济困难毕业生就业提供专项补助。现就有关事项通知如下：
一、资助对象
家庭经济困难的应届毕业生（升学、出国、参军、暂无就业意愿的除外）。申请者原则上满足以下条件：
（1）
学校家庭经济困难数据库学生；
（2）
行为学分在
80
分及以上；
（3）
勤俭节约，勤奋上进。
二、经费用途
主要用于资助就业过程中的材料准备、交通费用和通讯费用等。
三、资助金额
500
元
/
人，一次性发放。
四、名额分配
每班申请人数不超过总人数的
8%
。
五、申请程序
本人下载并填写《
2024
届家庭经济困难毕业生就业专项补助申请表》（附件
1
），由班级初评，上报学院资助评审工作组对申请学生进行初审并提出意见，确定名单公示后上报学生服务与发展中心（奖惩助贷服务中心）。学生服务与发展中心（奖惩助贷服务中心）将按照流程组织评审、公示。公示无异议后，完成相关发放工作。
六、材料报送
各班在
2024
年
3
月
1
日前将附件
2
电子版发送至邮箱
scyshr2022@szcu.edu.cn
，附件
1
纸质版交至后勤大楼
305
办公室。
未尽事宜请咨询设计与艺术学院团学办公室，联系人：史老师，联系电话：
0512-68350139
。
特此通知！
附件1：2024届家庭经济困难毕业生就业专项补助申请表.doc
附件2：2024届家庭经济困难毕业生就业专项补助汇总表.xlsx
                                            
设计与艺术学院
                                                   
2024
年
2
月25日
江苏省苏州市吴中区吴中大道1188号
邮编：215104
联系邮箱:4132013983@szcu.edu.cn
Copyright © 苏州城市学院 苏ICP备10027372号-1 苏ICP备2021049900",2024-02-25 10:35:19,关于做好2024届家庭经济困难毕业生就业专项补助工作的通知
,王洁莹,http://hqc.szcu.edu.cn/2024/0225/c3078a60336/page.htm,基建与后勤管理处,"
发布者：王洁莹
发布时间：2024-02-25
浏览次数：
10

一、低温雨雪冰冻天气危害
1、易形成冻疮，会促发或加重心脑血管、呼吸系统疾病以及骨关节炎等疾病。
2、易造成道路结冰、积雪、路面湿滑和能见度下降，加剧交通拥堵和事故的发生频率。
3、易造成农作物遭受冻害，引起大棚垮塌、沟渠堵塞、田埂倒塌等农业设施损坏。
二、低温雨雪冰冻灾害防范应对措施
1、防冻伤
（1）适当运动，均衡膳食，注意营养。
（2）注意保暖和防风，避免在寒冷环境中暴露时间过长。
（3）做好房屋保暖检查及保暖用品储备，在室内保持适宜的温度和湿度，适时通风换气。
（4）出入温暖的室内时，注意温度缓冲，不宜忽冷忽热。
（5）保持皮肤干爽，运动出汗后，要注意脱离寒冷环境，及时更换干燥衣物。
（6）儿童、老年人、孕妇不宜长时间外出，儿童外出时应由成年人陪伴，老年人、孕妇外出时宜有人陪伴。穿着防寒衣物，注意头部、胸腹部、足部等部位防寒保暖。密切关注冻伤和失温症状的发生，如出现紧急情况及时就医。
（7）尽量避免长时间户外作业。户外作业时，穿戴防寒工作服、防滑鞋靴。衣物和鞋靴潮湿时，及时更换。了解周围的救援设施和联系方式，如出现紧急情况应停止作业，及时寻求帮助，并尽快进入温暖场所。
（8）一旦发生冻伤，要尽快进入温暖的室内。要用温水（非热水）浸泡患处。要用体温温暖冻伤部位，如用腋下温暖冻伤的手指。
（9）一旦发生冻伤，不要用冻伤的脚走路；不要用雪擦或揉冻伤部位，不然可能会增加损伤；不要使用电热毯、烤灯、火炉、电暖器等取暖，冻伤部位已经麻木，很容易引起烧伤。
2、防跌倒
（1）及时清除房前屋顶的积雪。雨雪天气尽量减少室外活动，出行时放慢走路速度。
（2）选择不湿滑、无结冰、平坦、有扶手、光线好的路面行走。
（3）步行要避开坑洼、井盖以及路面浮冰和积水，注意房檐的冰柱。
（4）步行时双手插兜，可能会影响身体平衡，应尽量避免这样的行为。
（5）穿衣既要保暖也不应过度，防止过于厚重的衣物影响肢体活动。帽子、围巾不要遮挡视线。穿防滑、保暖、大小合适的鞋。
（6）老年人外出时应携带手机和个人应急信息卡。使用手杖、轮椅等助行器的老年人要注意设备的防滑。
（7）夜间作业应保证良好的照明。
三、防道路交通伤害
1、出行前一定要提前了解天气情况，关注预报预警信息和路况信息，合理规划出行方式和出行线路，携带应急食物、饮料和常用药物等。
2、雨雪天气行车，要及时更换汽车防冻液，关注油箱或电瓶状态。保持视野清晰，合理使用灯光，做到“降速、控距、亮尾”。谨防道路湿滑，应给车辆安装防滑链，尽可能保持直线行驶。雨雪较大时，要及时驶离高速或进入高速服务区休息。
3、雨雪天气骑车，要戴好头盔、保持车距、集中精力、减速慢行。
4、雨雪天气步行，要穿戴“显眼”衣物，增加可见性，要确保能够被其他交通参与者看见；行走及过马路时要防止衣帽遮挡视线。
5、儿童乘车出行时，乘坐安全座椅应脱掉羽绒服，防止滑脱，羽绒服可以盖在身上保暖。
6、春运时段乘坐公共交通工具时，注意有序上下车。
7、遇车辆故障或事故要牢记“车靠边、人撤离、即报警”。
四、其他注意事项
慢性基础性疾病人群要提前储备一定量的常用药并遵医嘱服用。不宜长时间外出、开展剧烈的户外活动或在室外停留坐卧。出现胸闷、胸痛、心悸等症状应立即休息，服用急救药物，并尽快进入温暖场所。如果持续不能缓解，应立即就医或拨打急救电话。
内容来源：国家疾控局、江苏气象、健康江苏公众号
地址：江苏省苏州市吴中区吴中大道1188号（215104）
电话：0512-66555732
Copyright © 苏州城市学院 苏ICP备2021049900号-1",2024-02-25 10:30:02,保健 | 低温雨雪冰冻灾害防范应对健康提示
